district,votes ,votes DEM,votes NPA,votes REP,state,year
District 1,55307.0,,,199929.0,Florida,2016
District 11,52750.0,151329.0,,,Florida,2016
District 12,79952.0,,,216234.0,Florida,2016
District 13,13739.0,129598.0,,93444.0,Florida,2016
District 14,29777.0,,73299.0,158946.0,Florida,2016
District 15,17620.0,142432.0,,97862.0,Florida,2016
District 16,65793.0,,,189514.0,Florida,2016
District 17,19575.0,100091.0,,164146.0,Florida,2016
District 18,12864.0,97211.0,24314.0,113125.0,Florida,2016
District 19,15513.0,141305.0,,69875.0,Florida,2016
District 22,18450.0,101261.0,,116464.0,Florida,2016
District 23,20674.0,110937.0,,157910.0,Florida,2016
District 25,14964.0,83028.0,,152943.0,Florida,2016
District 27,68231.0,,,181783.0,Florida,2016
District 28,64626.0,,,179126.0,Florida,2016
District 3,10771.0,159288.0,,77192.0,Florida,2016
District 30,17502.0,120198.0,,102390.0,Florida,2016
District 34,20950.0,128640.0,,75368.0,Florida,2016
District 36,15576.0,67003.0,,81972.0,Florida,2016
District 37,13110.0,87794.0,9979.0,81938.0,Florida,2016
District 38,23932.0,117948.0,38811.0,,Florida,2016
District 39,13298.0,82117.0,,97343.0,Florida,2016
District 40,14363.0,80551.0,17170.0,100170.0,Florida,2016
District 7,20981.0,98378.0,,174320.0,Florida,2016
District 8,8409.0,107990.0,,119895.0,Florida,2016
